c,f,p,course deg,knots,alt ft,hdop,sats,loc age,lat,lng,chars proc,fail checksum,date,time
26.9,80.42,99396,0,0,643,144,5,955,40.397858,-89.247704,8043,0,5/13/2022,13:22:36
26.8,80.24,99393,0,0,631,144,5,300,40.397858,-89.247696,10400,1,5/13/2022,13:22:44
26.8,80.24,99386,0,0,630,144,5,392,40.397858,-89.247696,12788,1,5/13/2022,13:22:51
26.6,79.88,99363,0,0,629,145,5,483,40.397854,-89.247696,15176,1,5/13/2022,13:22:58
26.8,80.24,99387,0,0,634,99,8,564,40.397861,-89.247696,17627,1,5/13/2022,13:23:05
26.5,79.7,99273,0,0,638,99,8,652,40.397865,-89.247696,20120,1,5/13/2022,13:23:12
27.2,80.96,99427,0,0,640,99,8,744,40.397873,-89.247704,22613,1,5/13/2022,13:23:19
26.7,80.06,99392,0,0,644,112,6,867,40.397861,-89.247711,25126,1,5/13/2022,13:23:26
26.5,79.7,99390,0,0,650,100,8,228,40.397865,-89.247719,27652,2,5/13/2022,13:23:34
26.3,79.34,99385,0,0,655,100,8,407,40.397865,-89.247719,30183,2,5/13/2022,13:23:41
26.3,79.34,99391,0,0,659,100,8,496,40.397865,-89.247726,32716,2,5/13/2022,13:23:48
26.1,78.98,99393,0,0,669,100,8,589,40.397858,-89.247719,35275,2,5/13/2022,13:23:55
25.9,78.62,99412,0,0,662,100,8,681,40.397861,-89.247719,37834,2,5/13/2022,13:24:02
25.8,78.44,99412,0,0,663,90,9,763,40.397861,-89.247719,40402,2,5/13/2022,13:24:09
25.8,78.44,99408,0,0,662,90,9,902,40.397869,-89.247719,42972,2,5/13/2022,13:24:16
25.7,78.26,99361,0,0,658,90,9,262,40.397873,-89.247719,45542,4,5/13/2022,13:24:24
26,78.8,99429,0,0,659,90,9,419,40.397873,-89.247719,48142,4,5/13/2022,13:24:31
25.9,78.62,99458,0,0,659,90,9,510,40.397873,-89.247726,50708,4,5/13/2022,13:24:38
25.3,77.54,99322,0,0,658,90,9,611,40.397873,-89.247734,53276,4,5/13/2022,13:24:45
26,78.8,99453,0,0,657,90,9,706,40.397873,-89.247734,55840,4,5/13/2022,13:24:52
25.8,78.44,99353,298,0,652,90,9,793,40.397869,-89.247726,58414,4,5/13/2022,13:24:59
26.4,79.52,99471,298,0,648,90,9,953,40.397873,-89.247719,60975,5,5/13/2022,13:25:06
26.6,79.88,99480,298,0,653,90,10,305,40.397873,-89.247719,63577,6,5/13/2022,13:25:14
26.2,79.16,99228,245,0,655,87,11,427,40.397865,-89.247719,66187,6,5/13/2022,13:25:21
27.2,80.96,99445,245,0,656,85,11,522,40.397865,-89.247719,68923,6,5/13/2022,13:25:28
26.4,79.52,99227,216,1,655,95,10,599,40.397858,-89.247719,71563,6,5/13/2022,13:25:35
26.5,79.7,99200,318,0,658,104,8,707,40.397873,-89.247719,74563,6,5/13/2022,13:25:42
26.6,79.88,99221,318,0,653,129,6,922,40.397919,-89.247643,80208,7,5/13/2022,13:25:56
26.8,80.24,99249,318,0,654,473,4,294,40.397892,-89.24765,83381,8,5/13/2022,13:26:04
27,80.6,99243,318,0,647,128,7,525,40.397907,-89.247635,86575,8,5/13/2022,13:26:11
27,80.6,99226,1,0,647,141,5,629,40.397923,-89.247627,89768,8,5/13/2022,13:26:18
27,80.6,99217,1,0,647,177,6,718,40.397915,-89.247643,92852,8,5/13/2022,13:26:25
27.7,81.86,99475,1,0,659,90,9,801,40.397873,-89.247681,96010,8,5/13/2022,13:26:32
26.6,79.88,99255,1,0,658,157,6,176,40.397869,-89.247681,99149,9,5/13/2022,13:26:40
27,80.6,99474,1,0,653,452,4,431,40.397877,-89.247673,102262,10,5/13/2022,13:26:47
26.6,79.88,99474,0,0,647,232,6,273,40.397888,-89.247665,3153,2,5/13/2022,13:27:00
26,78.8,99473,0,0,646,175,6,120,40.397873,-89.247673,3153,1,5/13/2022,13:27:16
26,78.8,99468,0,0,645,889,7,449,40.397869,-89.247688,6312,1,5/13/2022,13:27:23
25.8,78.44,99477,0,0,645,146,7,552,40.397858,-89.247719,9444,1,5/13/2022,13:27:30
